postalCode,place,latitude,longitude,specialOffice
5280,Idrija,46.006705819,14.009796337,
1292,Ig,45.951636448,14.50688018,
6250,Ilirska Bistrica,45.553995239680425,14.258238228850422,
6251,Ilirska Bistrica - Trnovo,45.5721995,14.2372942,
1295,Ivančna Gorica,45.93814606693549,14.808164179032257,
2259,Ivanjkovci,46.4617927,16.1540274,
1411,Izlake,46.1535864,14.9307196,
6310,Izola/Isola,45.524736269,13.655316551,
2222,Jakobski Dol,46.6515436,15.7180572,
2221,Jarenina,46.629727,15.6981481,
6254,Jelšane,45.5011156,14.2732804,
4270,Jesenice,46.436935118,14.068355044,
8261,Jesenice na Dolenjskem,45.8496706,15.6103347,
3273,Jurklošter,46.093557,15.348301,
2223,Jurovski Dol,46.6062793,15.784106,
2256,Juršinci,46.493039972,15.977042281,
5214,Kal nad Kanalom,46.0807756,13.6584604,
3233,Kalobje,46.1689068,15.3933223,
4246,Kamna Gorica,46.3170704,14.1945346,
2351,Kamnica,46.5729808,15.6134209,
1241,Kamnik,46.211161687,14.605583753,
5213,Kanal,46.09139517585266,13.641262712960437,
8258,Kapele,45.9303707,15.6760476,
2362,Kapla,46.6252013,15.2185459,
2325,Kidričevo,46.406380889,15.791130957,
1412,Kisovec,46.1381755,14.9644066,
6253,Knežak,45.6247372,14.2448666,
5222,Kobarid,46.242336808,13.582474463,
9227,Kobilje,46.685272765,16.391575198,
1330,Kočevje,45.640397403,14.876033822,
1338,Kočevska Reka,45.5749221,14.7996781,
2276,Kog,46.4565955,16.2539421,
5211,Kojsko,46.006653,13.5745737,
6223,Komen,45.813689636,13.723782617,
1218,Komenda,46.203790961,14.535671553,
6000,Koper - Capodistria,45.537681985,13.731936287,
6001,Koper - Capodistria - poštni predali,45.5479864,13.7304781,
8282,Koprivnica,46.0352431,15.5412562,
5296,Kostanjevica na Krasu,45.837556864300204,13.65426027281947,
8311,Kostanjevica na Krki,45.84765479737991,15.400303811353714,
1336,Kostel,45.50595029938272,14.870264338271605,
6256,Košana,45.6651885,14.1260759,
2394,Kotlje,46.5194249,14.9855784,
6240,Kozina,45.6085113,13.9353038,
3260,Kozje,46.077758362,15.558716511,
4000,Kranj,46.243982613,14.358096266,
4001,Kranj - poštni predali,46.2432913,14.3549353,
4280,Kranjska Gora,46.485736851567566,13.78081309037838,
1281,Kresnice,46.1025116,14.7867831,
4294,Križe,46.3408873,14.3008765,
9206,Križevci,46.7879768,16.2414487,
9242,Križevci pri Ljutomeru,46.563088786,16.127993832,
1301,Krka,45.882273,14.7793866,
8296,Krmelj,45.9845282,15.1868516,
