objectId,latitude,longitude,postalCode,place
fnImCqwi5p,46.5803,15.7438,2221,Jarenina
EkJjgXc2uR,46.5803,15.7438,2222,Jakobski Dol
WlrutajHbV,46.6064,15.7847,2223,Jurovski Dol
HLTaCF7Ssb,46.5542,15.7028,2229,Maleènik
klG8mUrgZV,46.5761,15.8314,2230,Lenart v Slovenskih goricah
ZF7uFhUcNL,46.58,15.7278,2231,Pernica
5UfwTr5XAY,46.5838,15.8478,2232,Volièina
v7tUKFzvrU,46.5838,15.8478,2233,Sv. Ana v Slovenskih goricah
v96MHcnuwZ,46.6086,15.8883,2234,Benedikt
7lXQonCbjL,46.5838,15.8478,2235,Sv. Trojica v Slovenskih goricah
RFuLwL4dqT,46.5706,15.9436,2236,Cerkvenjak
XLtcYYiBkG,46.5031,15.7453,2241,Spodnji Duplek
1MzuCadFz9,46.524,15.7723,2242,Zgornja Korena
hbGDzm21jY,46.4201,15.8702,2250,Ptuj
ZqpksjcdL6,46.4367,15.9536,2252,Dornava
SIuU8CE0Gy,46.5006,15.875,2253,Destrnik
ekgnZ7Co85,46.5202,15.8866,2254,Trnovska vas
q6cKSgrxJR,46.5275,15.9394,2255,Vitomarci
1KEjzMx0UW,46.4847,15.9714,2256,Juršinci
pu1NjyuUEE,46.4746,16.0031,2257,Polenšak
HUJGexrrCa,46.4842,16.0836,2258,Sveti Tomaž
CGWPpqQir9,46.4622,16.1458,2259,Ivanjkovci
UYNZrZ5ijy,46.4114,16.1544,2270,Ormož
6rivElrRiu,46.4147,16.0139,2272,Gorišnica
oOHGAqkU8g,46.4292,16.0636,2273,Podgorci
VcAJdu4xxQ,46.4178,16.1097,2274,Velika Nedelja
LIlzMe1lC8,46.46,16.2136,2275,Miklavž pri Ormožu
spGm7DWso6,46.4717,16.2508,2276,Kog
vGqRMpeAVc,46.3942,16.2681,2277,Središèe ob Dravi
uvgtkQvgpe,46.3833,15.95,2281,Markovci
kCX816gFIa,46.3441,15.9947,2282,Cirkulane
TfFAxULCZq,46.3917,16.0497,2283,Zavrè
iPpFJiCgCP,46.3686,15.9064,2284,Videm pri Ptuju
kXd1vaI4oi,46.3303,15.9369,2285,Zgornji Leskovec
ya5lpQFfpH,46.3353,15.88,2286,Podlehnik
auRfzBwAjW,46.275,15.7939,2287,Žetale
26JBdLbjTL,46.4089,15.8469,2288,Hajdina
Qy1HmynJL8,46.29,15.7167,2289,Stoperce
3mlzKi6qPz,46.3928,15.5744,2310,Slovenska Bistrica
1u9ca2tgxt,46.4918,15.6231,2311,Hoèe
hwzZFps1DI,46.4701,15.6686,2312,Orehova vas
GWmUAh2Bmg,46.4506,15.6322,2313,Fram
CCVp4Sh2mj,46.4256,15.6122,2314,Zgornja Polskava
zOJQvPApTa,46.4442,15.5394,2315,Šmartno na Pohorju
jxCiFlFK3A,46.3833,15.5167,2316,Zgornja Ložnica
yaCeYrYLpp,46.3878,15.4467,2317,Oplotnica
CWQ8AgjMpV,46.3467,15.5947,2318,Laporje
sly9bhBGXY,46.3119,15.5792,2319,Poljèane
BMEygTvGew,46.3172,15.6672,2321,Makole
GnUDPOGh9H,46.3517,15.7336,2322,Majšperk
vlWY6j72Q1,46.355,15.76,2323,Ptujska Gora
lxJELYQhML,46.3736,15.7792,2324,Lovrenc na Dravskem polju
xNPzYb6JyF,46.4036,15.7911,2325,Kidrièevo
ZCSW4zzDlF,46.3999,15.7312,2326,Cirkovce
au4OjsOnYZ,46.4519,15.6814,2327,Raèe
IpFsOiR2MD,46.3967,15.66,2331,Pragersko
yX7269c0Wg,46.5536,15.5836,2341,Limbuš
ViAEwsGzE6,46.5394,15.5158,2342,Ruše
C9N4OUDzoc,46.5439,15.4472,2343,Fala
8uFIKLsEEg,46.5406,15.3931,2344,Lovrenc na Pohorju
8JEEfcX3Gl,46.5572,15.5144,2345,Bistrica ob Dravi
dmaNAXneux,46.5744,15.6142,2351,Kamnica
DEgrHjVmRG,46.55,15.495,2352,Selnica ob Dravi
L4Wie0qe0V,46.5647,15.5614,2353,Sv. Duh na Ostrem Vrhu
g7O1K4nCZ6,46.5697,15.575,2354,Bresternica
7iB9HYJMQB,46.6142,15.2264,2360,Radlje ob Dravi
NOqieszlAY,46.5869,15.3989,2361,Ožbalt
RmztqxbBzU,46.2483,15.0094,2362,Kapla
JRTPEhrGsp,46.5869,15.3306,2363,Podvelka
xoPjT9zSYo,46.535,15.2728,2364,Ribnica na Pohorju
hYFQ9X4ZoA,46.5947,15.2375,2365,Vuhred
51P5OTDAFf,46.6114,15.1661,2366,Muta
jzN3ZVO9Ep,46.5964,15.1672,2367,Vuzenica
xIBSoUrzAN,46.5881,15.0192,2370,Dravograd
JMq4M1JgAf,46.6028,15.1075,2371,Trbonje
izGu7oHpJZ,46.62,14.9497,2372,Libelièe
8l06glUSBb,46.5611,15.0389,2373,Šentjanž pri Dravogradu
kcscJ9zv3l,46.5103,15.0806,2380,Slovenj Gradec
1a6MmUx964,46.4719,15.0836,2381,Podgorje pri Slovenj Gradcu
344sKhG4qb,46.4411,15.1956,2382,Mislinja
URH3gZNLBm,46.4894,15.1067,2383,Šmartno pri Slovenj Gradcu
VFpw47a6Gl,46.5431,14.9692,2390,Ravne na Koroškem
8dhEjCJlLY,46.5469,14.9208,2391,Prevalje
DE2w0KzFHj,46.5214,14.8544,2392,Mežica
LnzWZSKyUD,46.4705,14.8501,2393,Èrna na Koroškem
2QkhEbnS86,46.5214,14.9869,2394,Kotlje
YYGZNP5hyV,45.5916,14.1546,3000,Celje - dostava
qpUi9sZ5gx,45.5916,14.1546,3001,Celje - poštni predali
5a7JHpLnwd,46.2945,15.2431,3201,Šmartno v Rožni dolini
xHDQKqbEMu,46.2417,15.3208,3202,Ljubeèna
ceBGXqdjZk,46.3128,15.2856,3203,Nova Cerkev
AypTLiDWu3,46.3375,15.2264,3204,Dobrna
8mwbBwzNUR,46.3817,15.2958,3205,Vitanje
iAhMZEumwr,46.3636,15.3653,3206,Stranice
0M3boHuJks,46.3367,15.4258,3210,Slovenske Konjice
WcfcGuZYq1,46.2679,15.2912,3211,Škofja vas
9GaJzAmQGr,46.2933,15.3033,3212,Vojnik
jOynjOz5jI,46.3306,15.3144,3213,Frankolovo
tCSs65FCos,46.3822,15.3792,3214,Zreèe
CoEYd8uaNV,46.283,15.258,3215,Loèe
FHkZxrpm26,46.2208,15.3139,3220,Štore
wGFVxGMPFV,46.2303,15.3022,3221,Teharje
GfH5unyInH,46.2736,15.3947,3222,Dramlje
s7F393ujHg,46.1575,15.5147,3223,Loka pri Žusmu
2aykTYFkYx,46.1367,15.4089,3224,Dobje pri Planini
b5QUJHess4,46.1114,15.4094,3225,Planina pri Sevnici
l16iL7Feyo,46.2172,15.3975,3230,Šentjur
noESR5Ze98,46.2117,15.4447,3231,Grobelno
zVUfu9Zzyl,46.241,15.4567,3232,Ponikva
